code,name,thsRank,emRank,rankDiff,inThsTop100,inEmTop100,emListRank,thsChange,pct,price,emScore,emTime,emHisChange,emHourChange
002428,云南锗业,42,45,3,true,true,45,4,-7.39,120.48,1191016.8952999527,2026-06-27 17:02:00,14,1
300285,国瓷材料,63,42,-21,true,true,42,-6,4.48,102.81,1212010.549953907,2026-06-27 17:02:00,0,-1
601991,大唐发电,43,132,89,true,false,,-5,-2.01,7.32,751322.6276278653,2026-06-27 16:56:00,-71,0
300162,雷曼光电,118,43,-75,false,true,43,-16,19.98,12.13,1209945.5797733725,2026-06-27 17:02:00,-16,1
002156,通富微电,44,44,0,true,true,44,-1,-7.98,71.60,1202984.4121942134,2026-06-27 17:02:00,0,1
000988,华工科技,45,56,11,true,true,56,68,-7.28,160.94,1084794.574078435,2026-06-27 17:02:00,49,11
002202,金风科技,46,63,17,true,true,63,-1,6.53,23.33,1012191.0864788473,2026-06-27 17:02:00,-28,-3
300666,江丰电子,72,47,-25,true,true,47,8,7.51,354.78,1173196.2594701222,2026-06-27 17:02:00,6,0
605366,宏柏新材,48,58,10,true,true,58,-7,10.02,14.38,1064680.9569680735,2026-06-27 17:02:00,-7,-4
002080,中材科技,75,48,-27,true,true,48,20,5.10,97.67,1163485.8223496354,2026-06-27 17:02:00,30,2
601138,工业富联,49,74,25,true,true,74,-18,-8.79,70.22,894223.6053580242,2026-06-27 17:02:00,-38,0
601016,节能风电,50,49,-1,true,true,49,-10,10.06,3.94,1159783.9464447016,2026-06-27 17:02:00,-19,-1
688072,拓荆科技,196,51,-145,false,true,51,66,1.09,832.00,1125359.1243538223,2026-06-27 17:02:00,202,-2
603019,中科曙光,53,59,6,true,true,59,7,0.96,98.76,1260011.6213896638,2026-06-27 16:56:00,3,-2
002617,露笑科技,59,54,-5,true,true,54,8,7.45,9.66,1094412.3281492046,2026-06-27 17:02:00,13,1
600183,生益科技,57,80,23,true,true,80,4,-4.65,178.50,851203.9244718776,2026-06-27 17:02:00,18,0
600497,驰宏锌锗,58,70,12,true,true,70,45,1.87,12.54,946342.3428268014,2026-06-27 17:02:00,29,0
603938,三孚股份,61,67,6,true,true,67,-9,8.80,75.81,991484.3418939005,2026-06-27 17:02:00,-15,-2
601133,柏诚股份,87,61,-26,true,true,61,-4,10.00,38.28,1046618.1091633864,2026-06-27 17:02:00,8,0
002342,巨力索具,62,210,148,true,false,,20,1.05,9.65,480319.4146408479,2026-06-27 17:02:00,58,-9
603690,至纯科技,89,62,-27,true,true,62,0,2.66,35.49,1044650.0800726665,2026-06-27 17:02:00,44,-4
688432,有研硅,64,78,14,true,true,78,14,20.00,30.90,863993.9957666066,2026-06-27 17:02:00,-7,0
301308,江波龙,77,64,-13,true,true,64,11,0.34,679.60,1003796.6663584242,2026-06-27 17:02:00,-9,0
600545,卓郎智能,65,83,18,true,true,83,-7,10.08,7.10,831970.3571164734,2026-06-27 17:02:00,1,-1
002281,光迅科技,66,104,38,true,false,,5,-8.08,240.34,724216.1228471848,2026-06-27 17:02:00,-4,5
603155,新亚强,140,66,-74,false,true,66,1,9.98,25.34,1000648.4060168916,2026-06-27 17:02:00,2,-4
605006,山东玻纤,68,71,3,true,true,71,5,5.19,24.94,934673.7125035529,2026-06-27 17:02:00,-5,0
300054,鼎龙股份,119,68,-51,false,true,68,96,-0.40,95.07,979730.8792346901,2026-06-27 17:02:00,92,0
600378,昊华科技,69,102,33,true,false,,5,-8.92,62.30,738767.5809493867,2026-06-27 17:02:00,32,0
688525,佰维存储,84,69,-15,true,true,69,-7,4.32,501.05,957687.9871521448,2026-06-27 17:02:00,4,0
000066,中国长城,70,176,106,true,false,,-16,-9.28,18.57,540637.9707874908,2026-06-27 17:02:00,-85,-2
600160,巨化股份,71,81,10,true,true,81,33,0.29,50.95,833482.6417876815,2026-06-27 17:02:00,78,2
002384,东山精密,73,93,20,true,true,94,-14,-5.61,260.32,781087.4410114287,2026-06-27 17:02:00,-5,-3
002709,天赐材料,74,127,53,true,false,,-18,-9.40,50.01,652586.2974013254,2026-06-27 17:02:00,-15,-1
603078,江化微,93,75,-18,true,true,75,32,4.49,47.95,879205.348252646,2026-06-27 17:02:00,81,2
600396,华电辽能,76,221,145,true,false,,-21,0.85,15.37,546274.6028678735,2026-06-27 16:56:00,-110,-4
300776,帝尔激光,193,77,-116,false,true,77,11,8.54,194.50,869332.6158973849,2026-06-27 17:02:00,61,-1
600110,诺德股份,78,148,70,true,false,,8,-3.04,15.29,598820.3017331791,2026-06-27 17:02:00,-7,-2
002436,兴森科技,79,89,10,true,true,89,19,-3.21,51.81,809575.3340248998,2026-06-27 17:02:00,58,0
688126,沪硅产业,101,79,-22,false,true,79,50,4.65,34.86,858661.9507953987,2026-06-27 17:02:00,36,0
