source,strategy,code,name,signalDate,rank,rank5,rank10,rank20,median5,medianPrev5,medianPrev10,trendScore,hotScore,rankMarketAllCount,entryDate,entryOpen,signalClose,signalAmount,signalTurnover,amount5,amount20,volumeRatio,turnover5,volumeConfirmed,totalMarketValue,floatMarketValue,exitDate5,ret5,exitDate10,ret10,exitDate20,ret20
eastmoney,popularity_only,002636,金安国纪,2026-06-08,12,291,177,797,87,245,196.5,455.55,7235469.709185783,5526,2026-06-09,70.38,63.98,2462714910.34,5.54,3179425756.312,2159923722.6069994,1.4720083505886379,8.03,true,81630640000,81217487708,2026-06-15,0.3830633702756465,2026-06-23,0.5436203466894005,,
eastmoney,popularity_only,002361,神剑股份,2026-06-08,3,378,356,190,7,507,312.5,276.85,13846114.852644948,5526,2026-06-09,18.42,18.49,4823312810,32.64,2148858724.052,3342189429.4774995,0.6429494106765641,15.9,false,13076730824,11124011099,2026-06-15,-0.1351791530944626,2026-06-23,-0.23887079261672106,,
eastmoney,popularity_only,003009,中天火箭,2026-06-08,28,1538,2367,2340,52,2659,2333.5,2196.75,5538174.765906454,5526,2026-06-09,62,60.94,834809200.18,8.59,310827042.672,284251902.2239999,1.0934915131264733,3.404,false,9436660877,9434935589,2026-06-15,0.02822580645161299,2026-06-23,-0.0693548387096774,,
eastmoney,popularity_only,688146,中船特气,2026-06-08,68,541,553,532,104,503,614.5,476.3,3752305.6733562215,5526,2026-06-09,246.8,251.98,6270519088,17.14,5099219065,2719788117.1,1.8748589395401474,16.496000000000002,true,204141176584,55900756675,2026-06-15,0.28889789303079416,2026-06-26,0.5623987034035656,,
eastmoney,popularity_only,301319,唯特偶,2026-06-08,120,623,636,1007,120,588,810,698.4000000000001,2694231.8458065777,5526,2026-06-09,151.49,143.49,2520870218,13.63,1936429853.2,1008208772.45,1.920663563057852,11.558000000000002,true,37641117222,28339040853,2026-06-15,-0.04132285959469284,2026-06-23,0.191563799590732,,
eastmoney,popularity_only,301313,凡拓数创,2026-06-08,17,1332,793,143,123,858,576,532.05,6327115.2728234995,5526,2026-06-09,61,59,1665368129,36.87,769426780,504757919.3,1.5243481094205389,19.532,true,5518204356,4190044490,2026-06-15,-0.04327868852459016,2026-06-23,-0.08229508196721314,,
eastmoney,popularity_only,688322,奥比中光-W,2026-06-08,41,475,856,290,74,560,547.5,469,4692772.768195657,5526,2026-06-09,136,144.17,5743088376,13.29,3419942429.2,1974080329.55,1.7324231329429185,8.870000000000001,true,49287992740,38193365581,2026-06-15,-0.06029411764705883,2026-06-23,-0.0964705882352942,,
eastmoney,popularity_only,603500,祥和实业,2026-06-08,42,3663,1633,3871,84,1681,2282,2963.3,4565703.940410992,5526,2026-06-09,12.79,13.23,750367581,16.91,235912100.6,93936586.55,2.5113974146210873,5.768,true,4193068900,4190874269,2026-06-15,0.033620015637216616,2026-06-23,-0.03596559812353395,,
eastmoney,popularity_only,603859,能科科技,2026-06-08,10,1491,1091,188,25,937,672.5,691.3000000000001,8394589.524915453,5526,2026-06-09,51,49.78,1917113653,15.98,802559390.4,567101811.55,1.415194545414074,7.1,true,11478769154,11478769154,2026-06-15,0.015490196078431273,2026-06-23,-0.026470588235294135,,
eastmoney,popularity_only,603662,柯力传感,2026-06-08,122,1030,1377,705,167,1056,714,829.75,2688162.147988967,5526,2026-06-09,69,69.9,1549894964,8.07,818246562.6,590806930.6,1.3849643939840404,4.478,true,18262366316,18262366316,2026-06-15,-0.034782608695652306,2026-06-23,0.02115942028985507,,
eastmoney,popularity_only,002896,中大力德,2026-06-08,15,332,547,888,15,429,460,644.5,6494988.8788328525,5526,2026-06-09,90,95.2,3897644174.96,21.86,2228862407.6019998,1175012722.9305,1.8968836371772912,13.447999999999999,true,13815543701,13815543701,2026-06-15,-0.10655555555555563,2026-06-23,-0.11899999999999988,,
eastmoney,popularity_only,002254,泰和新材,2026-06-08,22,1040,1167,645,63,1115,731.5,843.4,5947043.58363015,5526,2026-06-09,17.9,17.08,1139020341.1,8.11,805859650.44,828089006.1790001,0.9731558376296147,6.362,false,16584056491,16460002190,2026-06-15,-0.02346368715083791,2026-06-23,-0.06871508379888247,,
eastmoney,popularity_only,688017,绿的谐波,2026-06-08,7,428,601,315,7,428,313,410.54999999999995,9599149.5995603,5526,2026-06-09,413,428.25,11949975351,15.84,6604401246.2,4010348801.8,1.646839607376717,10.1,true,67733147983,67733147983,2026-06-15,-0.09777239709443097,2026-06-23,-0.08346246973365623,,
eastmoney,popularity_only,002472,双环传动,2026-06-08,74,805,834,488,99,697,511.5,565.2,3521103.9736693595,5526,2026-06-09,44.63,45.03,3566684823.69,10.68,2039881516.984,1534224120.057,1.3295850914586154,6.434,true,31577414258,27810317847,2026-06-15,-0.04077974456643518,2026-06-23,-0.091194263948017,,
eastmoney,popularity_only,002747,埃斯顿,2026-06-08,2,129,381,214,26,326,196.5,245.20000000000005,15313648.583130281,5526,2026-06-09,36.01,34.12,3679820423.01,14.43,2740719628.94,1764072818.2925,1.55363180052444,11.645999999999999,true,33553572366,27125968453,2026-06-15,-0.07720077756178845,2026-06-23,0.062204943071369145,,
eastmoney,popularity_only,000759,中百集团,2026-06-08,27,834,156,2650,69,463,2511,1584.3000000000002,5542635.797235922,5526,2026-06-09,6.18,6.27,656631929,16.14,462139852.09799993,253154905.59349996,1.8255220099904945,12.193999999999999,true,3802541007,3763752584,2026-06-15,-0.03721682847896435,2026-06-23,0.04854368932038855,,
eastmoney,popularity_only,002613,北玻股份,2026-06-08,13,574,267,1569,42,325,888,945.1500000000001,7120968.890919256,5526,2026-06-09,5.62,5.46,324149316.69,7.82,507486980.246,393129819.686,1.2908890519964604,13.706,true,4479314576,3148844698,2026-06-15,-0.14768683274021355,2026-06-23,-0.12989323843416378,,
eastmoney,popularity_only,600378,昊华科技,2026-06-08,18,349,697,1670,63,349,688.5,1059.3,6242848.127961062,5526,2026-06-09,50.21,49.83,5106742601,9.51,3441863751.8,1096608668.55,3.1386435749692128,7.062,true,80366976326,66820822115,2026-06-15,0.12069308902609044,2026-06-23,0.3212507468631747,,
eastmoney,popularity_only,600105,永鼎股份,2026-06-05,10,153,111,95,21,133,164,104.3,6442515.336890119,5525,2026-06-08,51.98,55.41,12066453196,14.38,9414009740.2,7572085810.05,1.243251856404654,12.314000000000002,true,96067678439,96067678439,2026-06-12,-0.01327433628318575,2026-06-22,0.22547133512889594,,
