sample,sec,code,name,signalDate,signalRank,rank20,rankRiseFrom20,firstTop100Date,firstTop100Rank,daysToTop100,tradingDaysToTop100,bestFutureRank,bestFutureRankDate,enteredTop100,enteredTop100Within7CalDays,enteredTop100Within14CalDays,enteredTop100Within30CalDays,amountRatio,prev5,ret5,ret10,ret20,bestBoardType,bestBoardName,bestBoardRet5,bestBoardAmountRatio
strict_sweet_spot,SZ301099,301099,雅创电子,2026-06-09,419,903,484,2026-06-16,99,7,5,99,2026-06-16,True,True,True,True,2.0542998551783755,0.09906254372463974,0.1912868632707776,0.26394101876675613,,concept,MLCC,0.03634813477348575,1.9895808295746058
strict_sweet_spot,SZ301196,301196,唯科科技,2026-06-09,413,1434,1021,,,,,115,2026-06-15,False,False,False,False,1.3195442193451288,0.33322343114627984,0.30580262600592967,0.22592121982210922,,concept,光纤概念,0.048253885172840905,1.2719032105561758
strict_sweet_spot,SH600157,600157,永泰能源,2026-06-03,409,645,236,,,,,520,2026-06-04,False,False,False,False,1.456933002457961,0.05113636363636376,-0.10326086956521752,-0.09239130434782616,,industry,火力发电,0.09834479831035137,1.9596173463723747
strict_sweet_spot,SH601015,601015,陕西黑猫,2026-06-03,479,1963,1484,,,,,191,2026-06-04,False,False,False,False,1.7651237275197076,0.14942528735632177,-0.14393939393939392,-0.1969696969696969,,industry,煤炭,0.1334755081741592,1.84439880743154
strict_sweet_spot,SH603124,603124,江南新材,2026-06-03,693,2447,1754,2026-06-07,84,4,2,84,2026-06-07,True,True,True,True,1.320911380287379,0.09420877904832148,0.1498630136986301,0.3157534246575342,,concept,复合集流体,0.03627977286381534,1.2203577594757105
strict_sweet_spot,SZ000537,000537,绿发电力,2026-06-03,493,780,287,,,,,741,2026-06-04,False,False,False,False,1.1057359320444413,0.09619238476953895,-0.20593692022263443,-0.21799628942486082,,industry,电力,0.05557611764112336,1.5130796053476228
strict_sweet_spot,SZ300040,300040,九洲集团,2026-06-03,400,1554,1154,,,,,391,2026-06-16,False,False,False,False,1.461080499752445,0.14144271570014144,-0.1934673366834171,-0.13442211055276387,,industry,电力,0.05557611764112336,1.5130796053476228
strict_sweet_spot,SH600508,600508,上海能源,2026-06-01,520,3654,3134,,,,,857,2026-06-04,False,False,False,False,2.0937999412962727,0.09498956158663874,-0.06589147286821706,-0.1240310077519381,,industry,焦煤,0.09841036478912057,1.5010862350327792
strict_sweet_spot,SH600121,600121,郑州煤电,2026-05-29,875,3300,2425,2026-06-01,19,3,1,16,2026-06-03,True,True,True,True,1.6760825109489645,0.038929440389294134,0.22248243559718972,0.0562060889929743,,industry,煤炭开采,0.06695040668127428,1.230521728851273
strict_sweet_spot,SH600886,600886,国投电力,2026-05-29,421,1976,1555,,,,,283,2026-05-30,False,False,False,False,1.1457292343455734,0.07116104868913875,-0.045170257123002155,-0.02501737317581665,,industry,水力发电,0.09497428570714939,1.2137945594428425
strict_sweet_spot,SH603681,603681,永冠新材,2026-05-28,446,1075,629,,,,,113,2026-06-15,False,False,False,False,1.996053895702008,0.10650069156293207,0.10833333333333339,-0.025000000000000022,-0.04625000000000001,industry,胶黏剂及胶带,0.06373423095584663,1.5592707660649436
strict_sweet_spot,SH688411,688411,海博思创,2026-05-28,622,2395,1773,,,,,600,2026-06-12,False,False,False,False,1.7424498373732473,0.19304333790654526,-0.0703730005748876,-0.18399783571742578,-0.12454769875891913,concept,百元股,0.04750011825363032,1.2633007057750123
strict_sweet_spot,SZ002625,002625,光启技术,2026-05-28,504,827,323,,,,,351,2026-06-18,False,False,False,False,1.7568477817908459,0.10688025210084029,-0.09454976303317542,-0.13625592417061605,-0.2890995260663508,concept,消费电子概念,0.04859136955316368,1.4355987534471977
strict_sweet_spot,SZ301307,301307,美利信,2026-05-28,773,1913,1140,,,,,955,2026-06-17,False,False,False,False,1.4220505783788164,-0.010983606557377068,-0.0051384054367643595,-0.0016575501408917503,-0.04027846842366978,concept,半导体概念,0.0545066595542516,1.2982755554233336
strict_sweet_spot,SH688469,688469,芯联集成-U,2026-05-27,521,1804,1283,,,,,381,2026-06-24,False,False,False,False,1.7344518827238338,0.06758448060075084,-0.08047337278106503,-0.1502958579881657,0.17633136094674562,industry,集成电路制造,0.032249021150684065,1.7377709097879943
strict_sweet_spot,SH688519,688519,南亚新材,2026-05-27,518,1337,819,,,,,251,2026-06-17,False,False,False,False,1.4373523543849722,0.15699384862262655,0.0751222264009026,0.36282437006393375,0.7862918390372322,industry,元件,0.08337886555869756,1.5525628776462703
