label,count,n5,avg5,median5,winRate5,p25_5,p75_5,n10,avg10,median10,winRate10,p25_10,p75_10,n20,avg20,median20,winRate20,p25_20,p75_20
raw_all_signals,2465,2465,-0.009544594349782736,-0.03177841557453576,0.39594320486815415,-0.11008695652173905,0.06371191135734078,2464,-0.008238076054963128,-0.05598346969443979,0.367288961038961,-0.14030303030303026,0.07468519322622669,2341,0.00936586691708392,-0.06965174129353213,0.373771892353695,-0.17532917532917525,0.09815950920245409
deduped_10d_cooldown,1486,1486,-0.007167511062130902,-0.03008778780445498,0.39569313593539707,-0.10157618213660247,0.059469350411710975,1486,-0.008220779859655998,-0.05169081065261927,0.3768506056527591,-0.12926829268292672,0.07056681083542005,1413,0.011884447394103605,-0.061297539149888225,0.38499646142958244,-0.16405818449640952,0.09483454398708635
deduped_top10_per_day,1205,1205,-0.0061950839465104105,-0.02965517241379312,0.4024896265560166,-0.10129969418960239,0.06126616746085767,1205,-0.005349267336712566,-0.04907975460122682,0.38423236514522824,-0.1286549707602339,0.07782672540381785,1141,0.01577223582460109,-0.05873925501432664,0.38650306748466257,-0.15986159169550163,0.09815950920245409
volume_confirmed,1152,1152,-0.011284999590500194,-0.03467525496511009,0.3828125,-0.10684474123539245,0.05587668593448947,1152,-0.010764392271449074,-0.05408675408125002,0.3723958333333333,-0.13076923076923086,0.07056681083542005,1095,0.011963578465793613,-0.05873925501432664,0.3835616438356164,-0.16431924882629112,0.09483454398708635
volume_confirmed_top10_per_day,1029,1029,-0.00908716807182091,-0.033688328624212116,0.3877551020408163,-0.10547945205479448,0.058310376492194615,1029,-0.0101743732733239,-0.05283018867924538,0.3770651117589893,-0.13083003952569183,0.07468519322622669,977,0.011896415305792656,-0.054400000000000004,0.390992835209826,-0.16347564929524583,0.10107728337236543
