signalDate,code,name,rank,rank20,median5,medianPrev10,stockAmountRatio,stockPrev5,boardName,boardType,boardRet5,boardRet10,boardAmountRatio,boardScoreRankPct,score
2026-06-26,688361,中科飞测,433,2345,659,1389.5,1.1172658202113679,0.40755719440149085,半导体设备,industry,0.1423659395186534,0.3339493491539698,1.2634915084958585,0.0028011204481792717,186.9865364330822
2026-06-26,300458,全志科技,479,1199,479,1222,1.8306585776743858,0.11924803591470257,中芯概念,concept,0.11016547987148373,0.20076910227825673,1.2937295523693577,0.004366812227074236,174.10795308924884
2026-06-26,002289,宇顺电子,844,3662,1077,3552,1.4640378602189605,0.13612185686653788,最近多板,concept,0.03399299660441413,0.0987162935442587,1.5108541605150534,0.05021834061135371,164.4998959961361
2026-06-26,300347,泰格医药,486,913,649,1223.5,1.6043701154092251,0.12288135593220328,医疗研发外包,industry,0.05467282154928399,0.1079594939318198,1.8510076010790104,0.04201680672268908,139.51017611762322
2026-06-26,300751,迈为股份,422,906,529,846,1.0925792939520418,0.18713741841914433,存储芯片,concept,0.09219366844250176,0.2241928252577956,1.3629486901045385,0.006550218340611353,129.81019928184298
2026-06-25,688028,沃尔德,402,1561,638,2701.5,1.1828329084246316,0.1253951527924131,培育钻石,concept,0.14183824777497023,0.2281255920497407,1.6940143325046333,0.004366812227074236,193.69655987686133
2026-06-25,300327,中颖电子,546,1519,583,1752,1.4788501103222644,0.15368271954674229,数字芯片设计,industry,0.11071571958287985,0.2460156409966474,1.3598067180197202,0.011204481792717087,179.92861069548857
2026-06-25,002925,盈趣科技,450,992,616,1277.5,1.7493804188091386,0.12585812356979398,电子,industry,0.04396014080004962,0.1671998382000186,1.2169086358311312,0.0700280112044818,151.97853159023592
2026-06-25,600456,宝钛股份,735,1538,786,1186,1.9933863930673446,-0.10121991427629395,小金属,industry,0.03322766155337509,0.18563679865712968,1.6235393311129143,0.05322128851540616,146.55214239302322
2026-06-25,002517,恺英网络,570,1305,1006,1464.5,1.6224793215258748,0.10219478737997267,基金重仓,concept,0.04577729150553678,0.10985201359211394,1.2106721267303433,0.07423580786026202,145.96191009731072
2026-06-25,300251,光线传媒,591,1064,742,1269.5,1.4816925031573316,0.011463844797178213,创业成份,concept,0.033998223062814414,0.11032175643471942,1.3355144234228555,0.08296943231441048,128.82537937168877
2026-06-24,605178,时空科技,502,1768,1149,3285.5,1.71255258389019,0.24552510692222396,存储芯片,concept,0.11016967311218395,0.1774762753520145,1.2491353146500113,0.013100436681222707,199.23926556408236
2026-06-24,603026,石大胜华,463,1374,477,1060,1.8374390762799506,0.08951125755079636,氟化工概念,concept,0.05313802346982266,0.15758335755512198,1.3889041746699526,0.03275109170305677,170.7400137608055
2026-06-24,688019,安集科技,420,1036,432,1047.5,1.1510057940839575,0.1349192717279286,电子化学品Ⅱ,industry,0.0988336038700337,0.21361639424782397,1.3410791836509917,0.025210084033613446,148.91685209927067
2026-06-24,688521,芯原股份,409,769,479,1017,1.3352653336566445,0.2079486150140506,半导体,industry,0.12333474894645713,0.22224078424960636,1.208528311872753,0.014005602240896359,142.365179016718
2026-06-24,688120,华海清科,488,930,488,1073,1.1595744440905156,0.2053385028332837,半导体,industry,0.12333474894645713,0.22224078424960636,1.208528311872753,0.014005602240896359,139.68957344423146
2026-06-24,603306,华懋科技,539,1307,876,1282,1.0066058802436988,0.09238005644402647,光刻机(胶),concept,0.09482157717667317,0.1966085883370421,1.2477476738246536,0.015283842794759825,139.37171691592678
2026-06-23,300537,广信材料,443,2160,419,1030,1.3299374084160125,0.14169611307420493,电子化学品Ⅱ,industry,0.0969140343597823,0.25993380387937326,1.3122293056509646,0.025210084033613446,181.00220703103432
2026-06-23,688469,芯联集成-U,413,1255,755,1297.5,1.3357200987909201,0.21733505821474774,碳化硅,concept,0.12114767539131921,0.22018897152744454,1.2388435770488242,0.008733624454148471,166.09848711180422
2026-06-23,002821,凯莱英,544,1237,549,1396.5,1.012761100160316,0.1248454882571075,最近多板,concept,0.07207915529298425,0.08815992087131463,1.7137216077588862,0.0611353711790393,146.83090079795554
2026-06-23,301489,思泉新材,536,877,628,1516.5,1.454215564380453,0.13321917808219164,电子化学品Ⅱ,industry,0.0969140343597823,0.25993380387937326,1.3122293056509646,0.025210084033613446,145.75916093014533
2026-06-23,300432,富临精工,885,1787,885,1412,1.269685695861921,-0.03740756850804694,电池化学品,industry,0.04033265989042745,0.12031102263444615,1.287477935708864,0.10084033613445378,121.10786771064436
2026-06-22,301127,武汉天源,502,3068,747,4642,1.9247408848350218,0.3861224489795918,百日新高,concept,0.14690152704763215,0.16374552592079428,1.4932572698624116,0.03056768558951965,210.05375117802038
2026-06-22,603995,甬金股份,559,1451,477,1385,1.9509724803676607,0.23535404992358644,新材料,concept,0.09613575088437609,0.09861086092966387,1.3224330166396023,0.08951965065502183,184.84467464184792
2026-06-22,601319,中国人保,412,1855,1194,1709.5,1.7285342700905022,0.014245014245014342,非银金融,industry,0.05529379395731948,0.06202814780844257,1.5749547740710226,0.15966386554621848,165.9310953136476
2026-06-22,300558,贝达药业,549,1158,431,1093.5,1.7128559655302757,0.08707760861492764,百日新高,concept,0.14690152704763215,0.16374552592079428,1.4932572698624116,0.03056768558951965,164.93996152873504
2026-06-22,301021,英诺激光,425,1114,374,1056.5,1.1439452458884556,0.4998869545557316,百日新高,concept,0.14690152704763215,0.16374552592079428,1.4932572698624116,0.03056768558951965,161.5838602043562
2026-06-22,603698,航天工程,827,2100,1006,1672,1.0748723213638147,0.12027158098933066,工业气体,concept,0.08617782814184238,0.12972392208156225,1.4467898389026754,0.07641921397379912,155.64848225537173
2026-06-22,300560,中富通,612,1521,440,1840,1.2032208127996284,0.17697594501718217,虚拟机器人,concept,0.08677750328281153,0.07537695820058432,1.234411116256793,0.15283842794759825,146.60653445870065
2026-06-22,300748,金力永磁,634,1098,501,1085,1.4120488697800837,0.13911891354753236,稀土永磁,concept,0.1003838110271551,0.11889747099465509,1.7179025554512728,0.0611353711790393,136.32546006524203
2026-06-22,002625,光启技术,467,985,516,832.5,1.1486928231764484,-0.1597311966916516,新材料,concept,0.09613575088437609,0.09861086092966387,1.3224330166396023,0.08951965065502183,131.23768321206762
2026-06-22,002179,中航光电,444,702,265,605,1.3241041672321436,0.18661482921410721,可控核聚变,concept,0.09017016525588128,0.06529838475674632,1.203725614762358,0.16375545851528384,106.01080728068507
2026-06-22,001389,广合科技,571,866,568,1124.5,1.0918285907613274,0.07679372197309409,2026一季报预增,concept,0.08876872043496187,0.07997157431564195,1.2549272181393498,0.14410480349344978,105.06844641506349
2026-06-18,688308,欧科亿,506,954,638,1205,1.0608334622375248,0.32788732394366193,2026一季报预增,concept,0.07877616490490458,0.04592083148194659,1.219405385114201,0.15502183406113537,112.73464120433755
2026-06-17,603588,高能环境,584,2552,671,1463.5,1.4249446178929552,0.07187284035936403,小金属概念,concept,0.09557244927122044,0.03623321605203911,1.4620722652389935,0.08296943231441048,182.17614950467362
2026-06-17,002237,恒邦股份,581,2183,756,2173,1.2335194742474156,0.18837018837018826,小金属概念,concept,0.09557244927122044,0.03623321605203911,1.4620722652389935,0.08296943231441048,181.12385424686846
2026-06-17,601112,振石股份,537,1626,1290,2378.5,1.273546144187718,0.13712574850299397,新材料,concept,0.07650709366208286,0.0682604844321546,1.233523290380335,0.09606986899563319,175.9147176540054
2026-06-17,301292,海科新源,488,2093,628,1978,1.8463421185957687,0.2509909624227049,化工原料,concept,0.03903443270577989,0.017880143937193615,1.481384404914225,0.2314410480349345,166.84079210656907
2026-06-17,301522,上大股份,941,2674,1083,3171,1.2827868458155016,0.15228426395939088,其他金属新材料,industry,0.08993893990060409,0.07902696647195318,1.334781783596241,0.07282913165266107,163.51051213047816
2026-06-17,300769,德方纳米,498,934,325,961,1.3887568634662926,0.13825726141078842,锂矿概念,concept,0.04960662682502459,0.005425773784182741,1.2372430746966998,0.25109170305676853,107.12891124359876
