signalDate,code,name,rank,rank20,median5,medianPrev10,stockAmountRatio,stockPrev5,boardName,boardType,boardRet5,boardRet10,boardAmountRatio,boardScoreRankPct,score
2026-06-22,301127,武汉天源,502,3068,747,4642,1.9247408848350218,0.3861224489795918,百日新高,concept,0.14690152704763215,0.16374552592079428,1.4932572698624116,0.03056768558951965,210.05375117802038
2026-06-24,605178,时空科技,502,1768,1149,3285.5,1.71255258389019,0.24552510692222396,存储芯片,concept,0.11016967311218395,0.1774762753520145,1.2491353146500113,0.013100436681222707,199.23926556408236
2026-06-25,688028,沃尔德,402,1561,638,2701.5,1.1828329084246316,0.1253951527924131,培育钻石,concept,0.14183824777497023,0.2281255920497407,1.6940143325046333,0.004366812227074236,193.69655987686133
2026-06-26,688361,中科飞测,433,2345,659,1389.5,1.1172658202113679,0.40755719440149085,半导体设备,industry,0.1423659395186534,0.3339493491539698,1.2634915084958585,0.0028011204481792717,186.9865364330822
2026-06-22,603995,甬金股份,559,1451,477,1385,1.9509724803676607,0.23535404992358644,新材料,concept,0.09613575088437609,0.09861086092966387,1.3224330166396023,0.08951965065502183,184.84467464184792
