code,name,market,main_concept,active_days,start_close_avg,end_close_avg,rank_improve,start_hits_avg,end_hits_avg,hit_improve,latest_hits,latest_best_rank,latest_close_rank,latest_close_rate,score,close_20260618,close_20260626,return_pct,amount_20260618,amount_20260626
600584,长电科技,17,共封装光学(CPO),6,13.4,8.25,5.15,5.8,38.0,32.2,56,5,5,1560056.0,71.67,82.93,100.89,21.66,195.48,352.29
002185,华天科技,33,华为概念,2,16.0,12.25,3.75,0.0,14.75,14.75,56,3,9,1360545.0,50.76,19.61,22.56,15.04,92.39,150.98
002384,东山精密,33,PCB概念,3,16.0,12.5,3.5,0.0,13.75,13.75,3,11,11,1162798.0,47.41,273.0,260.32,-4.64,213.11,181.83
600105,永鼎股份,17,共封装光学(CPO),2,16.0,12.75,3.25,0.0,10.5,10.5,0,16,16,0,44.13,62.12,65.71,5.78,79.31,103.21
600110,诺德股份,17,储能,3,16.0,14.5,1.5,0.0,26.0,26.0,56,2,10,1267023.0,29.87,17.57,15.29,-12.98,86.56,37.7
002428,云南锗业,33,华为概念,4,16.0,14.75,1.25,1.0,12.5,11.5,0,16,16,0,21.12,100.44,120.48,19.95,94.55,122.88
